molecule_id	channel	intercept
succinate	UV_VIZ	0
lactate	UV_VIZ	0
formate	UV_VIZ	0
acetate	UV_VIZ	0
propionate	UV_VIZ	0
butyrate	UV_VIZ	0
isobutyrate	UV_VIZ	0
raffinose	UV_VIZ	0
trehalose	UV_VIZ	0
sialic_acid	UV_VIZ	0
glucose	UV_VIZ	0
fructose_mannitol_sorbitol	UV_VIZ	0
ethanol	UV_VIZ	0
succinate	RI	0
lactate	RI	0
formate	RI	0
acetate	RI	0
propionate	RI	1
butyrate	RI	0
valerate	RI	0
isobutyrate	RI	0
raffinose	RI	0
trehalose	RI	0
sialic_acid	RI	0
glucose	RI	0
fructose_mannitol_sorbitol	RI	0
ethanol	RI	0
pre_sialic_acid	RI	0
