standard_id	molecule_id	concentration
2015-12-07_scoa	succinate	20
2015-12-07_scoa	lactate	20
2015-12-07_scoa	formate	20
2015-12-07_scoa	acetate	20
2015-12-07_scoa	propionate	20
2015-12-07_scoa	butyrate	20
2015-12-07_scoa	valerate	20
2015-12-07_scoa	isobutyrate	0
2015-12-07_scoa	raffinose	20
2015-12-07_scoa	trehalose	20
2015-12-07_scoa	sialic_acid	20
2015-12-07_scoa	glucose	20
2015-12-07_scoa	fructose_mannitol_sorbitol	60
2015-12-07_scoa	ethanol	0
2015-12-07_scoa	pre_sialic_acid	0
blank	succinate	0
blank	lactate	0
blank	formate	0
blank	acetate	0
blank	propionate	0
blank	butyrate	0
blank	valerate	0
blank	isobutyrate	0
blank	raffinose	0
blank	trehalose	0
blank	sialic_acid	0
blank	glucose	0
blank	fructose_mannitol_sorbitol	0
blank	ethanol	0
2016-03-02_scoa	succinate	20
2016-03-02_scoa	lactate	20
2016-03-02_scoa	formate	20
2016-03-02_scoa	acetate	20
2016-03-02_scoa	propionate	20
2016-03-02_scoa	butyrate	20
2016-03-02_scoa	valerate	20
2016-03-02_scoa	isobutyrate	20
2016-03-02_scoa	isovalerate	20
2016-03-02_scoa	raffinose	20
2016-03-02_scoa	glucose	20
2016-03-02_scoa	fructose_mannitol_sorbitol	60
2016-03-02_scoa	ethanol	0
2016-03-09_scoa	succinate	20
2016-03-09_scoa	lactate	20
2016-03-09_scoa	formate	20
2016-03-09_scoa	acetate	20
2016-03-09_scoa	propionate	20
2016-03-09_scoa	butyrate	20
2016-03-09_scoa	valerate	20
2016-03-09_scoa	isobutyrate	20
2016-03-09_scoa	isovalerate	20
2016-03-09_scoa	raffinose	20
2016-03-09_scoa	glucose	20
2016-03-09_scoa	fructose_mannitol_sorbitol	60
2016-03-09_scoa	ethanol	0
biorad_scoa	oxalate	0.8
biorad_scoa	citrate	4.0
biorad_scoa	malate	8.0
biorad_scoa	succinate	20
biorad_scoa	formate	20
biorad_scoa	acetate	40
2016-06-15_acetate	acetate	100
2016-06-15_butyrate	butyrate	100
2016-06-15_fructose	fructose_mannitol_sorbitol	100
2016-06-15_glucose	glucose	100
2016-06-15_lactate	lactate	100
2016-06-15_propionate	propionate	100
2016-06-15_succinate	succinate	100
2016-11-08_acetate	acetate	10
2016-11-08_acetaldehyde	acetaldehyde	10
2016-11-08_mix	acetate	20
2016-11-08_mix	acetaldehyde	20
